player_id,gender,elo_band,player_mean_elo,time_category,n_games,avg_elo,exchange_rate,tension_duration,avg_mobility,center_control_score,advanced_pawn_push_rate,pawn_storm_indicator,castling_ply,king_shelter_score,forcing_move_rate,reactive_move_rate
P00003,male,2500+,2776.0,bullet,98,2789.1020408163267,0.29927394034536886,2.7121550218488992,57.20565522912461,17.57069223293713,0.0693933617403005,0.03666274201988486,13.066666666666666,2.976452119309262,0.6008914554832921,0.5642305823428272
P00003,male,2500+,2776.0,rapid,2,2134.5,0.23076923076923073,3.208333333333333,59.34615384615385,19.076923076923077,0.03846153846153845,0.0,22.0,2.5769230769230766,0.3846153846153846,0.5769230769230769
P00004,male,2000-2499,2017.5,blitz,38,1927.0,0.3221250971250971,2.942721459826723,58.713037255142524,17.883395697869382,0.05016562384983436,0.01821862348178137,16.87878787878788,3.083053204105836,0.6196591420275631,0.5749897763055657
P00004,male,2000-2499,2017.5,bullet,62,2072.935483870968,0.24831458863716924,3.0095781011103595,60.13103939071681,18.176592762076634,0.06958229942100908,0.02739867659222497,15.654545454545454,3.0165952327242653,0.5880133307552663,0.5539519620164781
P00005,male,2500+,2648.8,blitz,100,2648.79,0.2627947052947053,3.228245171495171,58.40170662670663,17.49311188811189,0.08274558774558771,0.03459498834498834,18.345238095238095,2.805979020979021,0.5435668498168498,0.562930402930403
P00006,male,2500+,2926.0,bullet,100,2926.01,0.28004662004662,2.7975995393495396,59.94938228438228,18.443706293706292,0.12780303030303028,0.061016899766899745,22.710843373493976,2.8033653846153843,0.5954982517482518,0.5421736596736596
P00009,male,2500+,2740.6,blitz,5,2862.4,0.18461538461538457,3.502164502164502,59.63076923076924,17.594871794871796,0.12307692307692304,0.06153846153846152,15.5,3.1641025641025644,0.5128205128205128,0.5487179487179488
P00009,male,2500+,2740.6,bullet,95,2734.1473684210528,0.25161703793282736,3.1131709810657178,58.95714367503842,17.605731987310936,0.08277205250889459,0.029297018770702975,17.28409090909091,2.976916475337528,0.5290640353798248,0.5466630153472258
P00011,male,2500+,2523.7,blitz,33,2572.4848484848485,0.27536907536907534,3.098198098198098,58.744483294483295,17.82346542346542,0.07062937062937061,0.05034965034965034,19.870967741935484,3.0214063714063712,0.5365578865578865,0.5799533799533799
P00011,male,2500+,2523.7,bullet,67,2499.6716417910447,0.2886146192116341,2.7402358835194653,58.25629544584769,17.495063145809414,0.06448526597780327,0.038078836586299264,17.406779661016948,2.9532338308457713,0.5781285878300804,0.5940489858400306
P00012,male,2000-2499,2404.4,blitz,51,2394.8823529411766,0.23831070889894418,3.141968325791855,58.89841628959276,17.720814479638012,0.07126696832579184,0.021568627450980385,18.02173913043478,2.781070889894419,0.5332579185520362,0.5332202111613876
P00012,male,2000-2499,2404.4,rapid,49,2414.3469387755104,0.251684539949846,3.142141503621095,59.7354380313564,18.83782289139432,0.0905523048380191,0.030808477237048656,16.952380952380953,2.922931660176558,0.5492747048869497,0.5426869049318029
P00013,male,2000-2499,2428.9,blitz,98,2432.785714285714,0.2806186160777997,2.82741371440351,58.046417584682885,17.446619423660238,0.08994760908026211,0.031647915576486996,18.725,2.8378622511275573,0.5790524668075688,0.5870808613155551
P00013,male,2000-2499,2428.9,rapid,2,2240.0,0.23076923076923075,3.208333333333333,64.23076923076923,19.923076923076923,0.0769230769230769,0.0769230769230769,15.0,2.5,0.5769230769230769,0.6153846153846154
P00015,male,2000-2499,2190.7,blitz,13,2190.6923076923076,0.2544378698224852,3.2777167277167276,59.41420118343195,17.662721893491124,0.07100591715976329,0.029585798816568035,18.0,3.005917159763314,0.5443786982248521,0.5325443786982248
P00020,male,2000-2499,2447.8,blitz,28,2450.035714285714,0.24890109890109888,3.1442496987139843,57.45934065934066,17.166208791208792,0.11071428571428568,0.049450549450549434,22.64,2.8945054945054944,0.5483516483516484,0.5417582417582417
